Command,Wrong transcript
มิซซิ่ง,"missing, mazing, มิสติ้ง, making, leasing"
บัคคัล,"macro, bacon, บัคเคิล, มาคั่น, บาคั่น, บาคลั่ง, บางท่าน, บางคั่น, bocal, บรอคคอล, บัคคล, บางคัน, บาคัน, บางครั้ง, ปัคคัน, บัคอน, ท่าน, บัคคั่น, ละคัน, ลักคัน, ลักลั่น"
ดิสทัล,"distal, digital, detal, ดิสทอล, วิทอล, ดิตอล, ดิจิทัล, ติดต่อ, ดิตัล, ดิทัล, อดิชั่น, ดิสทรันด์, ดิทอล, ดiทัล"
มีเสี้ยว,"มีเตียล, มีเสียว, มีเสียล, มิเซียล"
เอ็มจีเจ,"เอ็มดีเจ, เอ็มดีจี"
เอ็มโอ,"mo"
ลิงกัว,"จงกลัว"
ลบ,รับ
ซี่,ที่
ห้า,ถ้า
สี่สี่,"cc,ซีซี"
สอง สาม,สองสาม
